mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
0,1,-25,0.177,-7,-20,0.08799999999999997,11,11,0.05600000000000005,-14,7,-7,0,-2,6,0,-6,6
0,1,7,-0.02100000000000002,-2,-2,-0.13299999999999995,4,7,-0.05900000000000005,3,-3,0,-1,7,-3,-7,0,4
0,0,18,-0.08199999999999996,0,13,-0.12699999999999995,2,-3,0.127,6,-9,-3,6,0,-7,-8,3,2
0,2,3,0.008000000000000063,-2,5,-0.21799999999999997,8,9,0.04700000000000004,6,12,18,-9,-1,4,3,-4,10
0,6,-6,0.10999999999999999,8,5,0.27,-3,-6,0.02300000000000002,-6,13,7,4,-3,0,2,3,17
0,-3,-10,0.020000000000000018,-1,-9,0.08199999999999996,11,13,0.07100000000000006,-4,5,1,4,1,1,-2,-6,4
0,4,16,-0.039000000000000035,1,5,-0.04800000000000004,-5,-6,0.002000000000000113,8,-1,7,0,3,1,-6,-6,4
0,4,-6,0.08600000000000002,-2,-2,-0.08100000000000002,4,-4,0.22500000000000003,-7,11,4,5,-5,3,3,5,10
0,0,9,-0.045999999999999985,6,25,-0.12099999999999994,-4,-2,-0.17499999999999993,-2,-12,-14,-3,7,4,-4,4,2
0,3,-13,0.10700000000000004,-1,-1,-0.045999999999999985,5,2,0.132,-4,8,4,7,-3,4,5,6,10
0,-1,-4,0.010000000000000009,3,3,0.08899999999999997,6,3,0.11699999999999999,-6,-3,-9,2,5,2,-7,-4,7
0,2,1,0.020000000000000018,3,4,0.07300000000000001,0,-3,0.12900000000000011,4,5,9,2,1,4,3,-3,7
0,11,6,0.09499999999999997,1,1,0.03699999999999998,-1,2,-0.133,1,7,8,10,10,0,-5,-1,22
0,2,-5,0.050999999999999934,6,9,0.09599999999999997,6,4,0.17099999999999993,-3,3,0,2,9,1,-3,-4,16
0,3,-4,0.05599999999999994,0,-8,0.139,1,6,-0.122,0,7,7,-7,-1,-2,4,-5,7
